ID	timestamp	Self_Esteem1	Self_Esteem2	Self_Esteem3
413	2022-05-13 01:50:00	3	3	4
414	2022-05-13 03:51:00	2	5	3
415	2022-05-13 04:00:00	3	3	1
416	2022-05-13 10:05:00	3	3	4
417	2022-05-13 11:00:00	2	4	3
418	2022-05-13 11:12:00	3	4	1
419	2022-05-13 13:43:00	5	3	3
420	2022-05-13 14:28:00	5	1	4
421	2022-05-13 16:26:00	4	1	4
422	2022-05-13 16:32:00	1	3	1
423	2022-05-13 17:13:00	2	1	1
424	2022-05-13 17:32:00	1	3	1
425	2022-05-13 19:02:00	1	1	1
426	2022-05-13 20:50:00	3	3	3
427	2022-05-13 21:40:00	3	4	1
428	2022-05-13 22:43:00	1	1	1
429	2022-05-13 23:36:00	4	3	3
430	2022-05-14 00:01:00	2	3	3
431	2022-05-14 02:16:00	3	3	1
432	2022-05-14 07:11:00	1	1	1
433	2022-05-14 07:23:00	1	4	1
434	2022-05-14 11:26:00	2	2	2
435	2022-05-14 11:44:00	1	3	1
436	2022-05-14 11:46:00	1	3	1
437	2022-05-14 12:12:00	2	3	2
438	2022-05-14 13:40:00	1	3	1
439	2022-05-14 16:16:00	1	2	1
440	2022-05-14 17:33:00	5	1	2
441	2022-05-14 17:33:00	3	3	3
442	2022-05-15 02:48:00	5	1	2
443	2022-05-16 20:20:00	1	3	2
444	2022-05-17 17:12:00	1	2	2
445	2022-05-21 22:19:00	4	2	2
446	2022-05-21 22:33:00	5	1	4
447	2022-05-21 23:38:00	4	2	4
448	2022-05-22 00:01:00	4	2	4
449	2022-05-22 10:29:00	3	3	4
450	2022-07-14 19:33:00	2	3	4
451	2022-11-12 13:16:00	3	3	2
